title,slug,content_level,content_type,buyer_stage,monetization_fit,priority_score,priority_band,source_theme,source_cluster,repeated_across_queries,evidence_hits,keyword_hint,angle,recommended_cta,existing_overlap,status
Wireless Water Timer for Balcony Plants,wireless-water-timer-for-balcony-plants,L2 money page,guide,buyer,high,13.5,P4,Buyer guide: kits / systems,Wireless Water Timer for Balcony Plants,1,2,"timer, automation, worth, investment, evaluating, wireless","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Best Budget Hose Timer for Renters on a Balcony,best-budget-hose-timer-for-renters-on-a-balcony,L2 money page,buyer-guide,buyer,high,13.0,P4,Hose / soaker options,Best Budget Hose Timer for Renters on a Balcony,1,1,"permanent, non, hose, budget, timer, renters","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Budget-Friendly Automatic Watering Solutions Under $50,best-budget-friendly-automatic-watering-solutions-under-50,L2 money page,buyer-guide,buyer,high,13.0,P4,Budget DIY watering,Best Budget-Friendly Automatic Watering Solutions Under $50,1,1,"automatic, affordable, budget, options, friendly, solutions","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Neighbors to Ask for Plant Watering Help,best-neighbors-to-ask-for-plant-watering-help,L2 money page,buyer-guide,buyer,high,13.0,P4,Buyer guide: kits / systems,Best Neighbors to Ask for Plant Watering Help,1,1,"help, friend, ask, neighbors, considering, trusted","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Watering Schedule for Container Balcony Gardens,best-watering-schedule-for-container-balcony-gardens,L2 money page,buyer-guide,buyer,high,13.0,P4,Watering frequency and schedules,Best Watering Schedule for Container Balcony Gardens,2,2,"schedule, routines, creating, care, consistent, set","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Cheap vs. Expensive Hose Timers: What's Actually the Difference?,cheap-vs-expensive-hose-timers-what-s-actually-the-difference,L2 money page,comparison,buyer,high,13.0,P4,Timers and automation,Cheap vs. Expensive Hose Timers: What's Actually the Difference?,1,1,"difference, hose, cheap, budget, actually, timers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
DIY Aquarium Pump Watering System for Balcony,diy-aquarium-pump-watering-system-for-balcony,L2 money page,guide,buyer,high,13.0,P4,Drip setup and expansion,DIY Aquarium Pump Watering System for Balcony,1,1,"setup, based, diy, pump, aquarium, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Drip Irrigation for Balcony Plants: Complete Guide,drip-irrigation-for-balcony-plants-complete-guide,L2 money page,guide,solution-aware,high,13.0,P4,Hose / soaker options,Drip Irrigation for Balcony Plants: Complete Guide,2,2,"complete, drip, guide, irrigation, scale, many","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Set Up Drip Irrigation on a Small Balcony,how-to-set-up-drip-irrigation-on-a-small-balcony,L3 support / problem solver,problem-solver,problem-aware,low,13.0,P4,Watering frequency and schedules,How to Set Up Drip Irrigation on a Small Balcony,2,2,"set, drip, irrigation, space, saving, solutions","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Low-Cost Drip Irrigation Using Recycled Materials,low-cost-drip-irrigation-using-recycled-materials,L2 money page,buyer-guide,buyer,high,13.0,P4,Drip setup and expansion,Low-Cost Drip Irrigation Using Recycled Materials,1,1,"recycled, budget, low, repurposing, items, using",Pricing explainer anchored to realistic small-space setups.,"Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Starter Kit vs. Building Your Own Drip System: Timer Considerations,starter-kit-vs-building-your-own-drip-system-timer-considerations,L2 money page,comparison,buyer,high,13.0,P4,Drip setup and expansion,Starter Kit vs. Building Your Own Drip System: Timer Considerations,1,1,"building, kit, diy, timer, pre, made","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Automatic Watering System Installation: Professional vs. DIY,automatic-watering-system-installation-professional-vs-diy,L3 support / problem solver,comparison,buyer,high,12.5,P4,Budget DIY watering,Automatic Watering System Installation: Professional vs. DIY,1,1,"level, automatic, setup, professional, diy, options",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Best Container Gardening Setup for Automatic Watering,best-container-gardening-setup-for-automatic-watering,L2 money page,buyer-guide,buyer,high,12.5,P4,Buyer guide: kits / systems,Best Container Gardening Setup for Automatic Watering,1,1,"automatic, gardening, setup, systems, work, choosing","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Planters with Built-in Drainage for Balconies,best-planters-with-built-in-drainage-for-balconies,L2 money page,buyer-guide,buyer,high,12.5,P4,Buyer guide: kits / systems,Best Planters with Built-in Drainage for Balconies,1,1,"finding, built, drainage, planters, systems, work","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Plants for Automated Watering Systems on Balconies,best-plants-for-automated-watering-systems-on-balconies,L2 money page,buyer-guide,buyer,high,12.5,P4,Buyer guide: kits / systems,Best Plants for Automated Watering Systems on Balconies,1,1,"automated, work, finding, systems","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Budget Balcony Watering: Cheapest Options That Work,budget-balcony-watering-cheapest-options-that-work,L3 support / problem solver,guide,solution-aware,medium,12.5,P4,Budget DIY watering,Budget Balcony Watering: Cheapest Options That Work,1,1,"conscious, cheapest, budget, options, work, solutions",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can Gravity Fed Systems Handle Wind and Temperature Swings?,can-gravity-fed-systems-handle-wind-and-temperature-swings,L2 money page,guide,buyer,high,12.5,P4,Timers and automation,Can Gravity Fed Systems Handle Wind and Temperature Swings?,1,1,"reliability, wind, weather, systems, varying, gravity","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Can You Build a DIY Plant Watering System Under $50?,can-you-build-a-diy-plant-watering-system-under-50,L3 support / problem solver,guide,buyer,high,12.5,P4,Budget DIY watering,Can You Build a DIY Plant Watering System Under $50?,1,1,"build, customers, conscious, diy, budget, affordable",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
Cheapest Smart Plug for Automated Plant Watering,cheapest-smart-plug-for-automated-plant-watering,L3 support / problem solver,guide,solution-aware,medium,12.5,P4,Budget DIY watering,Cheapest Smart Plug for Automated Plant Watering,1,1,"plug, cheapest, budget, automation, friendly, smart",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Cheapest Way to Set Up Balcony Drip Irrigation,cheapest-way-to-set-up-balcony-drip-irrigation,L3 support / problem solver,guide,solution-aware,medium,12.5,P4,Budget DIY watering,Cheapest Way to Set Up Balcony Drip Irrigation,1,1,"drip, set, cheapest, budget, options, friendly",Show the cheapest setups that still work without making the page junky.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Do You Leave the Tap Running When Using a Hose Timer?,do-you-leave-the-tap-running-when-using-a-hose-timer,L3 support / problem solver,guide,buyer,high,12.5,P4,Drip setup and expansion,Do You Leave the Tap Running When Using a Hose Timer?,1,1,"running, hose, leave, timer, tap, understanding","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Does a Gravity Fed System Need Electricity to Work?,does-a-gravity-fed-system-need-electricity-to-work,L3 support / problem solver,guide,buyer,high,12.5,P4,Budget DIY watering,Does a Gravity Fed System Need Electricity to Work?,1,1,"power, requirements, electricity, understanding, systems, gravity",Show the cheapest setups that still work without making the page junky.,Link to recommended products and core buyer guides.,new,candidate
How Much Does Balcony Drip Irrigation Cost to Set Up?,how-much-does-balcony-drip-irrigation-cost-to-set-up,L2 money page,buyer-guide,buyer,medium,12.5,P4,Budget DIY watering,How Much Does Balcony Drip Irrigation Cost to Set Up?,1,1,"information, much, pricing, budget, drip, irrigation",Pricing explainer anchored to realistic small-space setups.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How Often Should I Run Drip Irrigation on My Balcony?,how-often-should-i-run-drip-irrigation-on-my-balcony,L3 support / problem solver,problem-solver,problem-aware,low,12.5,P4,Watering frequency and schedules,How Often Should I Run Drip Irrigation on My Balcony?,2,2,"drip, often, timing, irrigation, frequency, schedule","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Test a DIY Watering System Before Vacation,how-to-test-a-diy-watering-system-before-vacation,L3 support / problem solver,problem-solver,buyer,high,12.5,P4,Budget DIY watering,How to Test a DIY Watering System Before Vacation,1,1,"reliability, vacation, diy, checks, before, test",Problem-first travel guide with timer/reservoir/backup options.,Link to recommended products and core buyer guides.,new,candidate
Plastic Bottle Watering Hack for Plants While Away,plastic-bottle-watering-hack-for-plants-while-away,L2 money page,problem-solver,problem-aware,high,12.5,P4,Drip setup and expansion,Plastic Bottle Watering Hack for Plants While Away,1,1,"hack, cheap, diy, plastic, wants, bottle",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Water Wicking Systems: How Do They Work for Potted Plants?,water-wicking-systems-how-do-they-work-for-potted-plants,L2 money page,problem-solver,buyer,high,12.5,P4,Buyer guide: kits / systems,Water Wicking Systems: How Do They Work for Potted Plants?,1,1,"they, wicking, mat, understand, potted, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What's the Difference Between Drip Irrigation and Sprinkler Watering Systems?,what-s-the-difference-between-drip-irrigation-and-sprinkler-watering-systems,L2 money page,guide,buyer,high,12.5,P4,Buyer guide: kits / systems,What's the Difference Between Drip Irrigation and Sprinkler Watering Systems?,1,1,"comparison, difference, between, systems, sprinkler, drip","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Are Drip Irrigation Kits Worth the Investment?,are-drip-irrigation-kits-worth-the-investment,L2 money page,buyer-guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Are Drip Irrigation Kits Worth the Investment?,1,1,"benefit, analysis, worth, gardeners, drip, investment","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Automatic Watering Systems That Don't Require WiFi,automatic-watering-systems-that-don-t-require-wifi,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Automatic Watering Systems That Don't Require WiFi,1,1,"require, don, automatic, systems, find, options","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Battery Life on Wireless Hose Timers: What to Expect,battery-life-on-wireless-hose-timers-what-to-expect,L2 money page,guide,buyer,high,12.0,P4,Drip setup and expansion,Battery Life on Wireless Hose Timers: What to Expect,1,1,"maintenance, life, wireless, hose, needs, understanding","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Best Automatic Watering System for Vacation (2+ Weeks Away),best-automatic-watering-system-for-vacation-2-weeks-away,L2 money page,buyer-guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Best Automatic Watering System for Vacation (2+ Weeks Away),1,1,"vacation, automatic, weeks, away, absence, solutions",Problem-first travel guide with timer/reservoir/backup options.,Link to recommended products and core buyer guides.,new,candidate
Best Budget Soaker Hose for Container Gardens,best-budget-soaker-hose-for-container-gardens,L2 money page,buyer-guide,buyer,high,12.0,P4,Hose / soaker options,Best Budget Soaker Hose for Container Gardens,1,1,"hose, affordable, budget, options, soaker","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Drip Irrigation Kit Under $50,best-drip-irrigation-kit-under-50,L2 money page,buyer-guide,buyer,high,12.0,P4,Drip setup and expansion,Best Drip Irrigation Kit Under $50,1,1,"kit, affordable, options, drip, under, irrigation","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Drip Irrigation Kits for Tomatoes and Herbs in Containers,best-drip-irrigation-kits-for-tomatoes-and-herbs-in-containers,L2 money page,buyer-guide,buyer,high,12.0,P4,Drip setup and expansion,Best Drip Irrigation Kits for Tomatoes and Herbs in Containers,1,1,"tomatoes, specific, choice, drip, herbs, kits","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Best Drip Irrigation Setup for Container Gardens on Balconies,best-drip-irrigation-setup-for-container-gardens-on-balconies,L2 money page,buyer-guide,buyer,high,12.0,P4,Drip setup and expansion,Best Drip Irrigation Setup for Container Gardens on Balconies,1,1,"limited, spaces, setup, potted, drip, efficient","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Can I Use a Hose Inside to Water My Balcony Garden,can-i-use-a-hose-inside-to-water-my-balcony-garden,L2 money page,guide,solution-aware,high,12.0,P4,Drip setup and expansion,Can I Use a Hose Inside to Water My Balcony Garden,1,1,"inside, hose, feasibility, indoor","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Do Automatic Watering Systems Reduce Plant Pests?,do-automatic-watering-systems-reduce-plant-pests,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Do Automatic Watering Systems Reduce Plant Pests?,1,1,"benefits, understand, automatic, health, systems, reduce","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Do Automatic Watering Systems Waste Water?,do-automatic-watering-systems-waste-water,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Do Automatic Watering Systems Waste Water?,1,1,"waste, efficiency, sustainability, automatic, systems","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Do I Need Special Pots for Automatic Watering Systems?,do-i-need-special-pots-for-automatic-watering-systems,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Do I Need Special Pots for Automatic Watering Systems?,1,1,"special, pots, automatic, systems, compatibility","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Do Self-Watering Pots Actually Work?,do-self-watering-pots-actually-work,L3 support / problem solver,guide,solution-aware,low,12.0,P4,General balcony/container watering,Do Self-Watering Pots Actually Work?,2,2,"pots, actually, work, effectiveness, self, evaluate","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
From Soda Bottles to Smart Systems: Evolution of Balcony Plant Watering,from-soda-bottles-to-smart-systems-evolution-of-balcony-plant-watering,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,From Soda Bottles to Smart Systems: Evolution of Balcony Plant Watering,1,1,"bottles, systems, options, evolution, soda, smart","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Hand Watering vs Automatic Systems for Balcony Plants,hand-watering-vs-automatic-systems-for-balcony-plants,L2 money page,comparison,buyer,high,12.0,P4,Buyer guide: kits / systems,Hand Watering vs Automatic Systems for Balcony Plants,1,1,"hand, automatic, systems, method, comparison","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Attach a Hose to a Water Butt for Balcony Use,how-to-attach-a-hose-to-a-water-butt-for-balcony-use,L3 support / problem solver,problem-solver,problem-aware,high,12.0,P4,Drip setup and expansion,How to Attach a Hose to a Water Butt for Balcony Use,1,1,"connection, hose, butt, equipment, attach, guide","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How to Choose a Hose Timer for Your First Drip System,how-to-choose-a-hose-timer-for-your-first-drip-system,L3 support / problem solver,problem-solver,buyer,high,12.0,P4,Drip setup and expansion,How to Choose a Hose Timer for Your First Drip System,1,1,"beginner, hose, timer, drip, choose, selection","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
How to Use an Aquarium Pump to Drain a Flooded Balcony,how-to-use-an-aquarium-pump-to-drain-a-flooded-balcony,L3 support / problem solver,problem-solver,problem-aware,high,12.0,P4,Drip setup and expansion,How to Use an Aquarium Pump to Drain a Flooded Balcony,1,1,"removal, emergency, drain, flooded, pump, aquarium","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Is Pooling Water on a Balcony a Landlord's Responsibility?,is-pooling-water-on-a-balcony-a-landlord-s-responsibility,L2 money page,problem-solver,problem-aware,high,12.0,P4,Drip setup and expansion,Is Pooling Water on a Balcony a Landlord's Responsibility?,1,1,"pooling, rights, responsibilities, responsibility, renter, landlord","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Maintenance Tips for Balcony Watering Systems,maintenance-tips-for-balcony-watering-systems,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Maintenance Tips for Balcony Watering Systems,1,1,"long, maintenance, term, working, systems, tips","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Rain Sensors and Hose Timers: Do They Work Together?,rain-sensors-and-hose-timers-do-they-work-together,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Rain Sensors and Hose Timers: Do They Work Together?,1,1,"they, smart, during, hose, timers, rainy","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Self-Watering Plant Containers: Are They Worth It?,self-watering-plant-containers-are-they-worth-it,L2 money page,buyer-guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Self-Watering Plant Containers: Are They Worth It?,1,1,"they, self, commercial, solutions, worth, customer","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Smart Plant Watering Systems That Work With Alexa and Google Home,smart-plant-watering-systems-that-work-with-alexa-and-google-home,L2 money page,guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Smart Plant Watering Systems That Work With Alexa and Google Home,1,1,"voice, controlled, systems, find, options, google","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Smart Watering Systems with Phone Alerts: Are They Worth It?,smart-watering-systems-with-phone-alerts-are-they-worth-it,L2 money page,buyer-guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Smart Watering Systems with Phone Alerts: Are They Worth It?,1,1,"they, benefits, connected, systems, alerts, phone","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Troubleshooting Uneven Watering in Container Drip Systems,troubleshooting-uneven-watering-in-container-drip-systems,L2 money page,problem-solver,buyer,high,12.0,P4,Hose / soaker options,Troubleshooting Uneven Watering in Container Drip Systems,1,1,"solve, systems, distribution, troubleshooting, drip, uneven","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
What Is a Smart Hose Timer and Do You Need One?,what-is-a-smart-hose-timer-and-do-you-need-one,L2 money page,guide,buyer,high,12.0,P4,Drip setup and expansion,What Is a Smart Hose Timer and Do You Need One?,1,1,"hose, understanding, timer, features, one, smart","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
What Size Water Reservoir Do Balcony Plants Need?,what-size-water-reservoir-do-balcony-plants-need,L2 money page,technical-guide,solution-aware,high,12.0,P4,Drip setup and expansion,What Size Water Reservoir Do Balcony Plants Need?,1,1,"size, capacity, setup, reservoir, determining","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
"What's the Best Watering System for Hot, Dry Climates?",what-s-the-best-watering-system-for-hot-dry-climates,L2 money page,buyer-guide,buyer,high,12.0,P4,Buyer guide: kits / systems,"What's the Best Watering System for Hot, Dry Climates?",1,1,"climates, frequent, hot, dry, needing, solutions","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
WiFi Automatic Plant Watering: Is It Worth the Investment?,wifi-automatic-plant-watering-is-it-worth-the-investment,L2 money page,buyer-guide,buyer,high,12.0,P4,Buyer guide: kits / systems,WiFi Automatic Plant Watering: Is It Worth the Investment?,1,1,"decide, automatic, justify, worth, systems, smart","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Wireless Hose Timers: Are They Actually Worth It?,wireless-hose-timers-are-they-actually-worth-it,L2 money page,buyer-guide,buyer,high,12.0,P4,Buyer guide: kits / systems,Wireless Hose Timers: Are They Actually Worth It?,1,1,"they, wireless, value, hose, actually, timers","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
Balcony Drainage Problems: How to Solve Them,balcony-drainage-problems-how-to-solve-them,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,Balcony Drainage Problems: How to Solve Them,1,1,"solve, them, drainage, fixing, understanding, problems","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Best Under-Pot Drip Catchers to Prevent Water Damage,best-under-pot-drip-catchers-to-prevent-water-damage,L2 money page,buyer-guide,buyer,high,11.5,P4,Drip setup and expansion,Best Under-Pot Drip Catchers to Prevent Water Damage,1,1,"prevention, catchers, prevent, pot, leak, damage","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Can I Use Plants to Prevent Balcony Water Pooling?,can-i-use-plants-to-prevent-balcony-water-pooling,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,Can I Use Plants to Prevent Balcony Water Pooling?,1,1,"pooling, prevent, drainage, natural, solutions","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Can Rubber Mats Help With Balcony Water Pooling?,can-rubber-mats-help-with-balcony-water-pooling,L2 money page,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Can Rubber Mats Help With Balcony Water Pooling?,1,1,"pooling, help, mat, mats, rubber, solutions","Search-led practical guide tied to container, balcony, and renter constraints.",Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
Can You Run a Garden Hose from Your Kitchen Sink to Balcony?,can-you-run-a-garden-hose-from-your-kitchen-sink-to-balcony,L2 money page,guide,solution-aware,high,11.5,P4,Drip setup and expansion,Can You Run a Garden Hose from Your Kitchen Sink to Balcony?,1,1,"kitchen, sink, outdoor, hose, run, solutions","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Container Size and Plant Watering Needs During Vacation,container-size-and-plant-watering-needs-during-vacation,L3 support / problem solver,technical-guide,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Container Size and Plant Watering Needs During Vacation,1,1,"size, understand, vacation, during, impact, pot",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
Deck and Balcony Watering: Which Timer Setup Works Best?,deck-and-balcony-watering-which-timer-setup-works-best,L2 money page,guide,buyer,high,11.5,P4,Timers and automation,Deck and Balcony Watering: Which Timer Setup Works Best?,1,1,"works, specific, setup, outdoor, space, timer","Buyer guide focused on small-space fit, reliability, and ease of setup.",Link to recommended products and core buyer guides.,new,candidate
Drip Irrigation Adapters for Garden Hoses,drip-irrigation-adapters-for-garden-hoses,L2 money page,guide,solution-aware,high,11.5,P4,Drip setup and expansion,Drip Irrigation Adapters for Garden Hoses,1,1,"hoses, attachment, hose, options, drip, adapters","Technical setup guide with clear parts, limits, and troubleshooting notes.",Link to recommended products and core buyer guides.,new,candidate
Drip Irrigation Setup for Balcony Container Plants,drip-irrigation-setup-for-balcony-container-plants,L2 money page,guide,solution-aware,high,11.5,P4,Drip setup and expansion,Drip Irrigation Setup for Balcony Container Plants,1,1,"permanent, setup, solution, wants, drip, irrigation","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
Emergency Plant Care: Last-Minute Vacation Watering,emergency-plant-care-last-minute-vacation-watering,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Buyer guide: kits / systems,Emergency Plant Care: Last-Minute Vacation Watering,1,1,"emergency, vacation, minute, plans, last, care",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Create Low-Cost Drip Irrigation on Your Balcony,how-to-create-low-cost-drip-irrigation-on-your-balcony,L2 money page,buyer-guide,buyer,low,11.5,P4,Watering frequency and schedules,How to Create Low-Cost Drip Irrigation on Your Balcony,1,1,"create, budget, low, friendly, drip, solutions",Pricing explainer anchored to realistic small-space setups.,Link to the nearest setup guide plus 1-2 relevant product pages.,new,candidate
How to Position Plants in Bathtub for Vacation Watering,how-to-position-plants-in-bathtub-for-vacation-watering,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,How to Position Plants in Bathtub for Vacation Watering,1,1,"implementing, vacation, position, bathtub, method, customer",Problem-first travel guide with timer/reservoir/backup options.,"Bridge into reservoir, timer, and no-faucet setup product pages.",new,candidate
How to Prevent Drip Line Freezing in Cold Climates,how-to-prevent-drip-line-freezing-in-cold-climates,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,How to Prevent Drip Line Freezing in Cold Climates,1,1,"prevent, climates, cold, freezing, winter, line","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Set Up a Watering Timer for Apartment Balconies,how-to-set-up-a-watering-timer-for-apartment-balconies,L3 support / problem solver,problem-solver,buyer,high,11.5,P4,Timers and automation,How to Set Up a Watering Timer for Apartment Balconies,1,1,"setup, guidance, timer, installation, set","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Tell if Balcony Pooling is a Structural Problem,how-to-tell-if-balcony-pooling-is-a-structural-problem,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,How to Tell if Balcony Pooling is a Structural Problem,1,1,"pooling, structural, severity, assessing, problem, tell","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
How to Tell If Your Hose Timer Is Working Properly,how-to-tell-if-your-hose-timer-is-working-properly,L3 support / problem solver,problem-solver,buyer,high,11.5,P4,Timers and automation,How to Tell If Your Hose Timer Is Working Properly,1,1,"working, hose, timer, troubleshooting, properly, tell","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Transition from Hand Watering to Automatic Systems,how-to-transition-from-hand-watering-to-automatic-systems,L2 money page,problem-solver,buyer,high,11.5,P4,Timers and automation,How to Transition from Hand Watering to Automatic Systems,1,1,"hand, automatic, transition, adjustment, systems, tips","Search-led practical guide tied to container, balcony, and renter constraints.",Link to recommended products and core buyer guides.,new,candidate
How to Troubleshoot Common Drip Irrigation Problems,how-to-troubleshoot-common-drip-irrigation-problems,L3 support / problem solver,problem-solver,problem-aware,high,11.5,P4,Drip setup and expansion,How to Troubleshoot Common Drip Irrigation Problems,1,1,"fixing, leaks, troubleshoot, clogs, drip, uneven","Technical setup guide with clear parts, limits, and troubleshooting notes.","Bridge into fittings, emitters, filters, and expansion parts.",new,candidate
